Michael,833254,Lisa,496972
David,734056,Mary,355226
John,713540,Susan,287653
James,684885,Karen,286044
Robert,650872,Kimberly,259085
Mark,441446,Patricia,231146
William,421539,Linda,225419
Richard,373974,Donna,213453
Thomas,327158,Michelle,208290
Jeffrey,302054,Cynthia,196611
Steven,290674,Sandra,183833
Joseph,283104,Deborah,183434
Timothy,276858,Tammy,182213
Kevin,271463,Pamela,181936
Scott,266884,Lori,176557
Brian,258214,Laura,174176
Charles,249436,Elizabeth,168895
Paul,242547,Julie,166143
Daniel,242092,Brenda,164486
Christopher,237203,Jennifer,164411
Kenneth,227528,Barbara,159749
Anthony,203161,Angela,159259
Gregory,187534,Sharon,154890
Ronald,182174,Debra,153771
Donald,172651,Teresa,151777
Gary,166030,Nancy,142710
Stephen,152249,Christine,139328
Eric,152231,Cheryl,135646
Edward,144000,Denise,128824
Douglas,135021,Kelly,128070
Todd,128760,Tina,126388
Patrick,122757,Kathleen,120956
George,113049,Melissa,119211
Keith,112604,Robin,118322
Larry,108591,Amy,116793
Matthew,106000,Diane,114446
Terry,101460,Dawn,114295
Andrew,97158,Carol,112335
Dennis,94980,Tracy,103779
Randy,93886,Kathy,101123
Jerry,93563,Rebecca,99461
Peter,92433,Theresa,97118
Frank,87167,Kim,94381
Craig,84720,Rhonda,93606
Raymond,81800,Stephanie,92821
Jeffery,79520,Cindy,91586
Bruce,74655,Janet,89319
Rodney,72182,Wendy,88965
Mike,71459,Maria,88729
Roger,71444,Michele,86991
Tony,70578,Jacqueline,84377
Ricky,66379,Debbie,84203
Steve,65649,Margaret,81863
Jeff,62088,Paula,80506
Troy,61417,Sherry,77520
Alan,61403,Catherine,76790
Carl,60793,Carolyn,75262
Danny,60722,Laurie,74447
Russell,60457,Sheila,74069
Chris,56369,Ann,72080
Bryan,55317,Jill,69144
Gerald,55302,Connie,65281
Wayne,54766,Diana,65033
Joe,53382,Terri,63736
Randall,52052,Suzanne,59760
Lawrence,51352,Andrea,58404
Dale,50429,Beth,58386
Phillip,50395,Janice,57965
Johnny,49834,Valerie,56586
Vincent,49489,Renee,55815
Martin,49111,Leslie,54457
Bradley,48739,Christina,52783
Billy,48456,Gina,52368
Glenn,48090,Lynn,51934
Shawn,47801,Annette,51912
Jonathan,47419,Cathy,51624
Jimmy,47389,Katherine,50632
Sean,47339,Judy,50334
Curtis,47247,Carla,47896
Barry,47225,Wanda,47769
Bobby,46392,Anne,47764
Walter,45926,Dana,47705
Jon,44884,Joyce,46125
Philip,44789,Regina,45826
Samuel,44268,Beverly,45241
Jay,42726,Monica,45179
Jason,42571,Bonnie,45088
Dean,42543,Kathryn,44863
Jose,42035,Anita,44398
Tim,41587,Sarah,43908
Roy,40037,Darlene,43532
Willie,39811,Jane,43335
Arthur,39616,Sherri,41628
Darryl,39191,Martha,41029
Henry,39143,Anna,40890
Darrell,38024,Colleen,40672
Allen,37712,Vicki,40508
Victor,36828,Tracey,40291
Harold,36744,Judith,39778
Greg,36455,Tamara,39005
Albert,36374,Gloria,38586
Jack,35606,Betty,38390
Darren,35044,Stacey,38263
Ronnie,34714,Penny,38223
Ralph,34178,Shirley,38073
Joel,33830,Victoria,37734
Louis,33388,Jean,37279
Jim,33201,Peggy,37034
Micheal,31971,Melanie,36750
Marc,31380,Joan,36678
Frederick,30780,Melinda,36299
Eddie,30579,Shelly,35660
Lee,30208,Stacy,35528
Stanley,29996,Virginia,35342
Tommy,29359,Marie,34811
Eugene,29310,Maureen,34446
Tom,29199,Ruth,34181
Tracy,29173,Julia,34177
Howard,28697,Ellen,34139
Leonard,28432,Tonya,34072
Kurt,28212,Shannon,33853
Marvin,28128,Heidi,33740
Kelly,28012,Joanne,33358
Brent,27170,Dorothy,33008
Ernest,26888,Gail,32869
Dwayne,26791,Rita,32867
Aaron,26085,Heather,32704
Brett,25846,Deanna,32269
Rick,25733,Holly,32144
Benjamin,25624,Rose,31858
Bill,25144,Vickie,31762
Reginald,24925,Carrie,31170
Duane,23760,Veronica,30029
Juan,23455,Yvonne,29953
Fred,23197,Becky,29598
Melvin,23082,Helen,29094
Adam,22950,Sylvia,28603
Norman,22751,Yolanda,28440
Dan,22714,April,28302
Mitchell,22684,Terry,27636
Harry,22665,Elaine,27464
Jesse,22614,Sheri,27326
Nicholas,22394,Marilyn,26995
Carlos,22392,Alice,26953
Jerome,22296,Jodi,26876
Kirk,22220,Rachel,26801
Ray,22187,Sheryl,26058
Don,22123,Jackie,25892
Calvin,21896,Jamie,25698
Glen,21886,Phyllis,25697
Brad,21364,Frances,24994
Theodore,21296,Crystal,24972
Derrick,21195,Joann,24873
Karl,21194,Eileen,24869
Edwin,20633,Shelley,24856
Earl,20370,Toni,24839
Lance,20047,Charlene,24621
Francis,19339,Kristin,24354
Clifford,19268,Sally,24347
Kent,19258,Charlotte,24234
Derek,19032,Kristine,24124
Wesley,18811,Jeanne,23545
Alfred,18655,Sara,23046
Antonio,18580,Tanya,23028
Warren,18558,Belinda,22948
Andre,18118,Carmen,22874
Clarence,17505,Sandy,22711
Bernard,17469,Evelyn,22580
Kyle,16597,Alicia,22424
Tyrone,16425,Sonya,22293
Manuel,16039,Lorraine,22246
Chad,15914,Yvette,22090
Luis,15910,Jeanette,22087
Gordon,15834,Loretta,22071
Dave,15772,Joy,21756
Nathan,15534,Sue,21605
Guy,15359,Norma,21513
Kerry,15289,Roberta,21097
Daryl,15264,Vanessa,20987
Leroy,15218,Shari,20518
Lonnie,15124,Jo,20196
Perry,15121,Natalie,19567
Erik,14764,Tammie,19345
Maurice,14645,Traci,18704
Marcus,14561,Gwendolyn,18635
Alvin,14503,Nicole,18565
Gilbert,14425,Felicia,18555
Vernon,14410,Melody,18470
Alexander,14194,Tami,18445
Stuart,13967,Shelia,18442
Rickey,13941,Marcia,18425
Shane,13934,Doris,18186
Franklin,13888,Kristen,18042
Leon,13822,Audrey,17869
Gregg,13793,Karla,17716
Bob,13788,Jody,17669
Darin,13743,Glenda,17590
Leslie,13721,Patty,17520
Gene,13698,Amanda,17179
Herbert,13697,Pam,17109
