Mary,91668
Anna,38159
Emma,25404
Elizabeth,25006
Margaret,21799
Minnie,21724
Ida,18283
Bertha,18263
Clara,17717
Alice,17142
Annie,17027
Florence,16699
Bessie,15373
Grace,15227
Ethel,14866
Sarah,14715
Ella,13936
Martha,13911
Nellie,13761
Mabel,13096
Laura,12806
Carrie,12514
Cora,11954
Helen,11496
Maude,11453
Lillian,11270
Gertrude,11100
Rose,11064
Edna,11020
Pearl,10903
Edith,10881
Jennie,10220
Hattie,10199
Mattie,9844
Eva,9800
Julia,9800
Myrtle,9769
Louise,9596
Lillie,9467
Jessie,9186
Frances,9182
Catherine,8915
Lula,8882
Lena,8691
Marie,8490
Ada,8423
Josephine,7732
Fannie,7527
Lucy,7520
Dora,7288
Agnes,7237
Maggie,7072
Blanche,6925
Katherine,6922
Elsie,6647
Nora,6521
Mamie,6330
Rosa,6157
Stella,6130
Daisy,6054
May,5881
Effie,5850
Mae,5647
Ellen,5402
Nettie,5313
Ruth,5298
Alma,5190
Della,5048
Lizzie,5035
Sadie,4915
Sallie,4840
Nancy,4792
Susie,4780
Maud,4201
Flora,4195
Irene,4002
Etta,3973
Katie,3907
Lydia,3902
Lottie,3888
Viola,3806
Caroline,3743
Addie,3739
Hazel,3644
Georgia,3540
Esther,3476
Mollie,3471
Olive,3456
Willie,3397
Harriet,3369
Emily,3368
Charlotte,3311
Amanda,3280
Kathryn,3276
Lulu,3253
Susan,3231
Kate,3194
Nannie,3165
Jane,2971
Amelia,2957
Virginia,2948
Mildred,2919
Beulah,2866
Eliza,2851
Rebecca,2849
Ollie,2832
Belle,2648
Ruby,2603
Pauline,2594
Matilda,2533
Theresa,2505
Hannah,2480
Henrietta,2480
Ora,2391
Estella,2321
Leona,2151
Augusta,2145
Eleanor,2136
Rachel,2128
Amy,2127
Sara,2127
Anne,2126
Marion,2109
Iva,2108
Ann,2104
Nina,2093
Dorothy,2088
Lola,2054
Lela,1915
Beatrice,1900
Josie,1884
Sophia,1865
Estelle,1841
Mayme,1841
Barbara,1820
Evelyn,1817
Maria,1732
Inez,1633
Allie,1606
Essie,1554
Delia,1546
Mable,1544
Millie,1527
Alta,1523
Betty,1519
Callie,1515
Janie,1491
Rosie,1485
Victoria,1440
Ola,1421
Gladys,1420
Louisa,1420
Ina,1406
Eula,1396
Luella,1384
Vera,1365
Lou,1364
Celia,1363
Nell,1345
Goldie,1327
Winifred,1309
Bettie,1298
Hilda,1280
Sophie,1267
Christine,1266
Marguerite,1256
Tillie,1254
Birdie,1237
Rena,1219
Eunice,1216
Bertie,1153
Olga,1116
Sylvia,1109
Lucille,1108
Bess,1099
Isabelle,1092
Genevieve,1088
Leila,1079
Mathilda,1065
Dollie,1063
Isabel,1053
Verna,1052
Bernice,1037
Loretta,1036
Rhoda,1024
Cornelia,1020
Sally,1010
Jean,1000
Alberta,992
Winnie,989
Lelia,987
Lois,954
Myra,953
Harriett,938
Roxie,933
Adeline,932
Abbie,929
Flossie,924
Sue,918
Christina,916
