Apple Inc.,415683.3,Exxon Mobil,401729.8,Apple Inc.,433099.6,Apple Inc.,504770.8
Exxon Mobil,403733.1,Apple Inc.,372202.3,Exxon Mobil,378716.2,Exxon Mobil,442142.8
Berkshire Hathaway,256801.8,Microsoft,288488.8,Berkshire Hathaway,280001.5,Microsoft,312297.3
PetroChina,254618.7,Berkshire Hathaway,276548.5,Microsoft,277220.9,Google,310079.1
Wal-Mart,246373.3,Wal-Mart,244079.4,Johnson & Johnson,244298.5,Berkshire Hathaway,292396.0
General Electric,239775.6,Johnson & Johnson,241170.9,General Electric,243290.4,General Electric,283589.8
Microsoft,239602.3,General Electric,239787.2,Wal-Mart,240773.3,Johnson & Johnson,258415.4
IBM,237724.7,Google,238688.6,Google,237479.4,Wal-Mart,254622.8
Nestlé,233792.1,Chevron Corporation,229402.6,Chevron Corporation,234740.8,Hoffmann-La Roche,241368.0
Chevron Corporation,230831.2,ICBC,226879.8,Hoffmann-La Roche,232495.2,Chevron Corporation,240223.4
